family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,coordinate_points_compared,emitted_primitives,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
line_segment,48,42048,beam_search,True,0.6128,0.2980,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,49,42049,greedy,True,0.9501,0.2993,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,49,42049,beam_search,True,0.9506,0.3182,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,50,42050,greedy,False,0.0000,0.4365,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x11906af70>
line_segment,50,42050,beam_search,False,0.0000,0.4365,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x355e4bc90>
line_segment,51,42051,greedy,True,0.6790,0.5282,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,51,42051,beam_search,True,0.5462,0.5918,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,52,42052,greedy,True,0.7239,0.6307,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,52,42052,beam_search,True,0.7239,0.5771,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,53,42053,greedy,True,0.4293,0.1898,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,53,42053,beam_search,True,0.8208,0.1714,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,54,42054,greedy,True,0.7916,0.5200,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
