family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
circle_arc,17,42017,sampling_gamma0,False,0.0000,14.1421,0.9167,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,17,42017,cfg_gamma32,False,0.0000,14.1421,0.9167,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,18,42018,greedy,True,0.6964,14.1421,0.9130,1.0000,0.0833,line_segment,True,25,25,True,0,0,0,
circle_arc,18,42018,beam_search,True,0.6964,14.1421,0.9130,1.0000,0.0833,line_segment,True,25,25,True,0,0,0,
circle_arc,18,42018,sampling_gamma0,False,0.0000,14.1421,0.9200,1.0000,0.0769,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,18,42018,cfg_gamma32,False,0.0000,14.1421,0.9167,1.0000,0.0800,line_segment,True,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,19,42019,greedy,True,0.8559,14.1421,0.9091,1.0000,0.0833,line_segment,True,24,24,True,0,0,0,
circle_arc,19,42019,beam_search,True,0.8559,14.1421,0.9091,1.0000,0.0833,line_segment,True,24,24,True,0,0,0,
circle_arc,19,42019,sampling_gamma0,False,0.0000,14.1421,0.9130,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,19,42019,cfg_gamma32,False,0.0000,14.1421,0.9130,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
grid_axes,0,42000,greedy,True,0.3114,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
grid_axes,0,42000,beam_search,True,0.3114,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
grid_axes,0,42000,sampling_gamma0,True,0.3552,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
grid_axes,0,42000,cfg_gamma32,True,0.3385,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
grid_axes,1,42001,greedy,True,0.5233,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
grid_axes,1,42001,beam_search,True,0.5233,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
grid_axes,1,42001,sampling_gamma0,False,0.0000,14.1421,0.9167,1.0000,0.0857,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
grid_axes,1,42001,cfg_gamma32,False,0.0000,14.1421,0.9167,1.0000,0.0857,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
grid_axes,2,42002,greedy,True,0.3517,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
grid_axes,2,42002,beam_search,True,0.3510,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
grid_axes,2,42002,sampling_gamma0,False,0.0000,14.1421,0.9167,1.0000,0.0833,line_segment,True,24,24,True,0,0,0,"TeX compilation structurally failed. Engine output: This is pdfTeX, Version 3.141592653-2.6-1.40.28 "
grid_axes,2,42002,cfg_gamma32,False,0.0000,14.1421,0.9167,1.0000,0.0857,line_segment,True,24,24,True,0,0,0,"TeX compilation structurally failed. Engine output: This is pdfTeX, Version 3.141592653-2.6-1.40.28 "
grid_axes,3,42003,greedy,True,0.4621,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
grid_axes,3,42003,beam_search,True,0.4621,14.1421,0.9167,1.0000,0.0882,line_segment,True,24,24,True,0,0,0,
